Open time,Engolfo,FuCandle,Structure,StructTop,StructBottom,StructPD,VelaBull,ImbLow,ImbHigh,Long,Short
2017-01-10 20:00:00+03:00,0,0,-1,1.06698,1.0366,0.616853,False,0.0,0.0,0,0
2017-01-11 00:00:00+03:00,0,0,-1,1.06698,1.0366,0.631007,True,0.0,0.0,0,0
2017-01-11 04:00:00+03:00,0,0,-1,1.06698,1.0366,0.603687,False,0.0,0.0,0,0
2017-01-11 08:00:00+03:00,-1,0,-1,1.06698,1.0366,0.555629,False,1.05358,1.05359,0,0
2017-01-11 12:00:00+03:00,-1,0,-1,1.06698,1.0366,0.482883,False,0.0,0.0,0,0
2017-01-11 16:00:00+03:00,1,0,-1,1.06698,1.0366,0.631995,True,1.05358,1.05542,0,0
2017-01-11 20:00:00+03:00,1,0,-1,1.06698,1.0366,0.710336,True,0.0,0.0,0,0
2017-01-12 00:00:00+03:00,0,0,-1,1.06698,1.0366,0.715932,True,0.0,0.0,0,0
2017-01-12 04:00:00+03:00,1,0,-1,1.06698,1.0366,0.805464,True,1.05987,1.06045,0,0
2017-01-12 08:00:00+03:00,1,0,-1,1.06698,1.0366,0.903884,True,1.06134,1.06194,0,0
2017-01-12 12:00:00+03:00,0,0,-1,1.06698,1.0366,0.942067,True,0.0,0.0,0,0
2017-01-12 16:00:00+03:00,0,0,-1,1.06698,1.0366,0.928571,False,0.0,0.0,0,0
2017-01-12 20:00:00+03:00,-1,0,-1,1.06698,1.0366,0.806122,False,1.06192,1.06325,0,0
2017-01-13 00:00:00+03:00,0,0,-1,1.06698,1.0366,0.822251,True,0.0,0.0,0,0
2017-01-13 04:00:00+03:00,0,0,-1,1.06698,1.0366,0.825543,True,0.0,0.0,0,0
2017-01-13 08:00:00+03:00,1,0,-1,1.06698,1.0366,0.914747,True,1.06186,1.06199,0,0
2017-01-13 12:00:00+03:00,0,0,-1,1.06698,1.0366,0.918038,True,0.0,0.0,0,0
2017-01-13 16:00:00+03:00,0,0,-1,1.06698,1.0366,0.892034,False,0.0,0.0,0,0
2017-01-13 20:00:00+03:00,0,0,-1,1.06698,1.0366,0.908492,True,0.0,0.0,0,0
2017-01-16 00:00:00+03:00,0,0,-1,1.06698,1.0366,0.836735,True,0.0,0.0,0,0
2017-01-16 04:00:00+03:00,0,0,-1,1.06698,1.0366,0.837064,True,0.0,0.0,0,0
2017-01-16 08:00:00+03:00,-1,0,-1,1.06698,1.0366,0.736011,False,1.06008,1.06047,0,1
2017-01-16 12:00:00+03:00,0,0,-1,1.06698,1.0366,0.744898,True,0.0,0.0,0,1
2017-01-16 16:00:00+03:00,1,0,-1,1.06698,1.0366,0.78341,True,0.0,0.0,0,0
2017-01-16 20:00:00+03:00,0,0,-1,1.06698,1.0366,0.752469,False,0.0,0.0,0,1
2017-01-17 00:00:00+03:00,0,0,-1,1.06698,1.0366,0.777156,True,0.0,0.0,0,0
2017-01-17 04:00:00+03:00,1,0,-1,1.06698,1.0366,0.958196,True,1.06184,1.06399,0,0
2017-01-17 08:00:00+03:00,1,0,1,1.06815,1.03249,0.989905,True,0.0,0.0,1,0
2017-01-17 12:00:00+03:00,1,0,1,1.0719,1.03249,0.929713,True,1.06815,1.06892,0,0
2017-01-17 16:00:00+03:00,0,0,1,1.0719,1.03249,0.948744,True,0.0,0.0,1,0
2017-01-17 20:00:00+03:00,0,0,1,1.0719,1.03249,0.982238,True,0.0,0.0,1,0
2017-01-18 00:00:00+03:00,0,0,1,1.0719,1.03249,0.948236,False,0.0,0.0,1,0
2017-01-18 04:00:00+03:00,-1,0,1,1.0719,1.03249,0.911951,False,0.0,0.0,1,0
2017-01-18 08:00:00+03:00,0,0,1,1.0719,1.03249,0.939355,True,0.0,0.0,1,0
